step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
394,2,afternoon,NS,12.336673654761956,0,3,8,0,8,1.5,3,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
395,0,afternoon,NS,12.338098339300291,0,4,5,0,5,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
395,1,afternoon,NS,12.336708142328591,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
395,2,afternoon,EW,12.461632058608178,2,0,0,7,7,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
396,0,afternoon,EW,12.457797844117326,2,0,0,7,7,1.0,2,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
396,1,afternoon,EW,12.457797844117326,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
396,2,afternoon,NS,12.338559363727848,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
397,0,afternoon,NS,12.34100996019325,0,3,6,0,6,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
397,1,afternoon,NS,12.343795238556208,0,2,8,0,8,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
397,2,afternoon,EW,12.471885038502311,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
398,0,afternoon,EW,12.46875412082539,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
398,1,afternoon,EW,12.47453762277837,2,0,0,5,5,1.0,2,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
398,2,afternoon,NS,12.344915885534025,0,3,5,0,5,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
399,0,afternoon,NS,12.347715299177217,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
399,1,afternoon,NS,12.344928365624032,0,4,4,0,4,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
399,2,afternoon,EW,12.470195347890382,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
400,0,night,EW,12.446992867176458,2,0,0,4,4,1.0,2,False,"Neural policy: queues NS/EW=(0,4), time=night, emergency=False"
400,1,night,EW,12.446992867176458,1,0,0,5,5,0.5,1,False,"Neural policy: queues NS/EW=(0,4), time=night, emergency=False"
400,2,night,NS,12.329645452549451,0,0,5,0,5,0.0,0,False,"Neural policy: queues NS/EW=(4,0), time=night, emergency=False"
401,0,night,NS,12.328928755485155,0,1,4,0,4,0.5,1,False,"Neural policy: queues NS/EW=(2,0), time=night, emergency=False"
401,1,night,NS,12.32752286761617,0,1,3,0,3,0.5,1,False,"Neural policy: queues NS/EW=(1,0), time=night, emergency=False"
401,2,night,EW,12.472516033845906,2,0,0,1,1,1.0,2,False,"Neural policy: queues NS/EW=(0,0), time=night, emergency=False"
